event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change,venue
match,10887.0,1990-06-02 03:10:00+00:00,1990,10,Richmond,Carlton,108.0,85.0,win,1481.7951236625108,1485.8241998407846,4.02907617827362,M.C.G.
match,10887.0,1990-06-02 03:10:00+00:00,1990,10,Carlton,Richmond,85.0,108.0,loss,1505.0093400726107,1500.980263894337,-4.02907617827362,M.C.G.
match,10888.0,1990-06-02 03:10:00+00:00,1990,10,St Kilda,Brisbane Lions,148.0,71.0,win,1509.7480822304299,1514.3306067870326,4.58252455660277,Moorabbin Oval
match,10888.0,1990-06-02 03:10:00+00:00,1990,10,Brisbane Lions,St Kilda,71.0,148.0,loss,1470.2185830095948,1465.636058452992,-4.58252455660277,Moorabbin Oval
match,10889.0,1990-06-02 03:10:00+00:00,1990,10,Fitzroy,Hawthorn,103.0,89.0,win,1472.7262748056478,1476.315055322464,3.588780516816245,Princes Park
match,10889.0,1990-06-02 03:10:00+00:00,1990,10,Hawthorn,Fitzroy,89.0,103.0,loss,1515.5603550246578,1511.9715745078415,-3.588780516816245,Princes Park
match,10890.0,1990-06-03 03:10:00+00:00,1990,10,Geelong,Western Bulldogs,96.0,94.0,win,1496.7474439109533,1497.923199244512,1.1757553335588282,Kardinia Park
match,10890.0,1990-06-03 03:10:00+00:00,1990,10,Western Bulldogs,Geelong,94.0,96.0,loss,1502.9976540732903,1501.8218987397315,-1.1757553335588282,Kardinia Park
match,10891.0,1990-06-03 03:10:00+00:00,1990,10,Sydney,Essendon,74.0,164.0,loss,1478.2657169895726,1471.2770494680635,-6.988667521509079,S.C.G.
match,10891.0,1990-06-03 03:10:00+00:00,1990,10,Essendon,Sydney,164.0,74.0,win,1517.6737367257983,1524.6624042473074,6.988667521509079,S.C.G.
match,10892.0,1990-06-09 03:10:00+00:00,1990,11,Essendon,West Coast,99.0,60.0,win,1524.6624042473074,1528.9856393035343,4.323235056226931,Windy Hill
match,10892.0,1990-06-09 03:10:00+00:00,1990,11,West Coast,Essendon,60.0,99.0,loss,1519.700752264544,1515.3775172083172,-4.323235056226931,Windy Hill
match,10893.0,1990-06-09 03:10:00+00:00,1990,11,Hawthorn,Sydney,132.0,83.0,win,1511.9715745078415,1516.0313815095978,4.059807001756416,Princes Park
match,10893.0,1990-06-09 03:10:00+00:00,1990,11,Sydney,Hawthorn,83.0,132.0,loss,1471.2770494680635,1467.2172424663072,-4.059807001756416,Princes Park
match,10894.0,1990-06-09 03:10:00+00:00,1990,11,St Kilda,Geelong,104.0,112.0,loss,1514.3306067870326,1510.6887850258518,-3.6418217611809105,Waverley Park
match,10894.0,1990-06-09 03:10:00+00:00,1990,11,Geelong,St Kilda,112.0,104.0,win,1497.923199244512,1501.5650210056929,3.6418217611809105,Waverley Park
match,10895.0,1990-06-10 03:10:00+00:00,1990,11,Brisbane Lions,Collingwood,73.0,107.0,loss,1465.636058452992,1460.4435102299767,-5.192548223015418,Carrara
match,10895.0,1990-06-10 03:10:00+00:00,1990,11,Collingwood,Brisbane Lions,107.0,73.0,win,1518.9139551860037,1524.106503409019,5.192548223015418,Carrara
match,10896.0,1990-06-11 03:10:00+00:00,1990,11,Melbourne,Carlton,99.0,93.0,win,1523.1850647176252,1525.193095024142,2.0080303065168428,M.C.G.
match,10896.0,1990-06-11 03:10:00+00:00,1990,11,Carlton,Melbourne,93.0,99.0,loss,1500.980263894337,1498.9722335878203,-2.0080303065168428,M.C.G.
match,10897.0,1990-06-11 03:10:00+00:00,1990,11,Western Bulldogs,Richmond,96.0,82.0,win,1501.8218987397315,1504.7841988997177,2.962300159986165,Western Oval
match,10897.0,1990-06-11 03:10:00+00:00,1990,11,Richmond,Western Bulldogs,82.0,96.0,loss,1485.8241998407846,1482.8618996807984,-2.962300159986165,Western Oval
match,10898.0,1990-06-11 03:10:00+00:00,1990,11,Fitzroy,North Melbourne,78.0,100.0,loss,1476.315055322464,1471.2571850963961,-5.057870226067889,Princes Park
match,10898.0,1990-06-11 03:10:00+00:00,1990,11,North Melbourne,Fitzroy,100.0,78.0,win,1487.4579173267607,1492.5157875528287,5.057870226067889,Princes Park
match,10899.0,1990-06-15 08:40:00+00:00,1990,12,West Coast,Hawthorn,105.0,82.0,win,1515.3775172083172,1519.1197404076702,3.7422231993530963,W.A.C.A.
match,10899.0,1990-06-15 08:40:00+00:00,1990,12,Hawthorn,West Coast,82.0,105.0,loss,1516.0313815095978,1512.2891583102448,-3.7422231993530963,W.A.C.A.
match,10900.0,1990-06-16 03:10:00+00:00,1990,12,Carlton,Brisbane Lions,158.0,89.0,win,1498.9722335878203,1503.4481108996195,4.4758773117993025,Princes Park
match,10900.0,1990-06-16 03:10:00+00:00,1990,12,Brisbane Lions,Carlton,89.0,158.0,loss,1460.4435102299767,1455.9676329181775,-4.4758773117993025,Princes Park
match,10901.0,1990-06-16 03:10:00+00:00,1990,12,Essendon,North Melbourne,124.0,94.0,win,1528.9856393035343,1532.5618836982728,3.5762443947385165,Windy Hill
match,10901.0,1990-06-16 03:10:00+00:00,1990,12,North Melbourne,Essendon,94.0,124.0,loss,1492.5157875528287,1488.9395431580901,-3.5762443947385165,Windy Hill
match,10902.0,1990-06-16 03:10:00+00:00,1990,12,Geelong,Collingwood,88.0,99.0,loss,1501.5650210056929,1497.7643058354595,-3.800715170233334,Waverley Park
match,10902.0,1990-06-16 03:10:00+00:00,1990,12,Collingwood,Geelong,99.0,88.0,win,1524.106503409019,1527.9072185792525,3.800715170233334,Waverley Park
