event,match_id,date,year,round,team,opponent,score,opponent_score,result,rating_before,rating_after,rating_change
match,69,2025-05-04T13:10:00,2025,8,Sydney,Greater Western Sydney,87.0,73.0,win,1462.8490608509408,1477.3224012660762,14.473340415135453
match,69,2025-05-04T13:10:00,2025,8,Greater Western Sydney,Sydney,73.0,87.0,loss,1512.6017705498828,1498.1284301347473,-14.473340415135453
match,70,2025-05-04T15:20:00,2025,8,Hawthorn,Richmond,109.0,44.0,win,1536.1118421547792,1545.684097971206,9.572255816426832
match,70,2025-05-04T15:20:00,2025,8,Richmond,Hawthorn,44.0,109.0,loss,1457.3987423263966,1447.8264865099698,-9.572255816426832
match,71,2025-05-04T19:20:00,2025,8,Brisbane Lions,Gold Coast,66.0,49.0,win,1566.316522752562,1578.1751150876335,11.858592335071535
match,71,2025-05-04T19:20:00,2025,8,Gold Coast,Brisbane Lions,49.0,66.0,loss,1553.8657160864177,1542.0071237513462,-11.858592335071535
match,72,2025-05-08T20:10:00,2025,9,Fremantle,Collingwood,83.0,97.0,loss,1499.8332801099248,1484.4636328634904,-15.369647246434397
match,72,2025-05-08T20:10:00,2025,9,Collingwood,Fremantle,97.0,83.0,win,1550.3112312527626,1565.680878499197,15.369647246434397
match,73,2025-05-09T19:40:00,2025,9,St Kilda,Carlton,62.0,77.0,loss,1496.7522837622626,1478.1758755038218,-18.57640825844078
match,73,2025-05-09T19:40:00,2025,9,Carlton,St Kilda,77.0,62.0,win,1478.603171873756,1497.1795801321969,18.57640825844078
match,74,2025-05-10T13:20:00,2025,9,Melbourne,Hawthorn,56.0,91.0,loss,1473.212769408568,1458.3581815202065,-14.854587888361493
match,74,2025-05-10T13:20:00,2025,9,Hawthorn,Melbourne,91.0,56.0,win,1545.684097971206,1560.5386858595675,14.854587888361493
match,75,2025-05-10T16:15:00,2025,9,Essendon,Sydney,71.0,63.0,win,1514.1558419762437,1525.2507750237899,11.094933047546192
match,75,2025-05-10T16:15:00,2025,9,Sydney,Essendon,63.0,71.0,loss,1477.3224012660762,1466.22746821853,-11.094933047546192
match,76,2025-05-10T19:35:00,2025,9,Gold Coast,Western Bulldogs,106.0,96.0,win,1542.0071237513462,1554.059269695942,12.05214594459585
match,76,2025-05-10T19:35:00,2025,9,Western Bulldogs,Gold Coast,96.0,106.0,loss,1528.3104092378865,1516.2582632932906,-12.05214594459585
match,77,2025-05-10T20:10:00,2025,9,Port Adelaide,Adelaide,84.0,89.0,loss,1501.1487575780989,1484.2779343757943,-16.870823202304564
match,77,2025-05-10T20:10:00,2025,9,Adelaide,Port Adelaide,89.0,84.0,win,1522.3293611990048,1539.2001844013093,16.870823202304564
match,78,2025-05-11T13:10:00,2025,9,Richmond,West Coast,81.0,79.0,win,1447.8264865099698,1458.0942399770563,10.26775346708655
match,78,2025-05-11T13:10:00,2025,9,West Coast,Richmond,79.0,81.0,loss,1391.0222116848358,1380.7544582177493,-10.26775346708655
