event,date,year,round,team,opponent,standard_rating_before,standard_rating_after,standard_rating_change,margin_rating_before,margin_rating_after,margin_rating_change,margin_error,match_id,score,opponent_score,result
match,2025-05-24T20:10:00,2025,11,Port Adelaide,Fremantle,1486.977317282768,1472.8309659787983,-14.146351303969533,1430.760122979145,1419.9109868812352,-10.849136097909868,20.409541327648107,95.0,51.0,100.0,loss
match,2025-05-25T13:10:00,2025,11,Adelaide,West Coast,1530.0321266128992,1536.6472093694586,6.615082756559359,1578.999002109612,1583.6926421346113,4.693640024999301,-8.829738995142833,96.0,128.0,62.0,win
match,2025-05-25T13:10:00,2025,11,West Coast,Adelaide,1298.0544584056684,1291.439375649109,-6.615082756559359,1332.381143611713,1327.6875035867138,-4.693640024999301,8.829738995142833,96.0,62.0,128.0,loss
match,2025-05-25T15:20:00,2025,11,Melbourne,Sydney,1461.8282675194234,1483.6423384556815,21.81407093625808,1436.308224026474,1466.294714815802,29.986490789328258,-56.41099139256266,97.0,131.0,78.0,win
match,2025-05-25T15:20:00,2025,11,Sydney,Melbourne,1550.1049378743385,1528.2908669380804,-21.81407093625808,1524.1391647945059,1494.1526740051777,-29.986490789328258,56.41099139256266,97.0,78.0,131.0,loss
match,2025-05-25T16:40:00,2025,11,St Kilda,Gold Coast,1450.6879091618916,1437.0033584004677,-13.68455076142397,1453.9271524475464,1446.4879934399073,-7.439159007639103,13.994646379134888,98.0,61.0,80.0,loss
match,2025-05-25T16:40:00,2025,11,Gold Coast,St Kilda,1541.089320539137,1554.7738713005608,13.68455076142397,1550.5600329535132,1557.9991919611523,7.439159007639103,-13.994646379134888,98.0,80.0,61.0,win
match,2025-05-29T19:30:00,2025,12,Brisbane Lions,Essendon,1656.1196782965694,1661.495518209553,5.375839912983497,1565.0914082760426,1553.644427145717,-11.446981130325534,21.53421547557103,99.0,90.0,72.0,win
match,2025-05-29T19:30:00,2025,12,Essendon,Brisbane Lions,1471.3138558937478,1465.9380159807642,-5.375839912983497,1415.8362489243277,1427.2832300546534,11.446981130325534,-21.53421547557103,99.0,72.0,90.0,loss
match,2025-05-30T19:40:00,2025,12,Collingwood,Hawthorn,1633.1911953483104,1646.456444779428,13.265249431117473,1602.511328344191,1619.324363044745,16.8130347005541,-31.628907911870435,100.0,107.0,56.0,win
match,2025-05-30T19:40:00,2025,12,Hawthorn,Collingwood,1574.8966293088488,1561.6313798777312,-13.265249431117473,1564.5700184015686,1547.7569837010146,-16.8130347005541,31.628907911870435,100.0,56.0,107.0,loss
match,2025-05-31T13:20:00,2025,12,Gold Coast,Fremantle,1554.7738713005608,1540.4597454844363,-14.314125816124388,1557.9991919611523,1542.8551783444013,-15.144013616750897,28.48912291155506,101.0,64.0,75.0,loss
match,2025-05-31T13:20:00,2025,12,Fremantle,Gold Coast,1539.415518710988,1553.7296445271124,14.314125816124388,1530.4476033671701,1545.591616983921,15.144013616750897,-28.48912291155506,101.0,75.0,64.0,win
match,2025-05-31T16:15:00,2025,12,Greater Western Sydney,Richmond,1539.1924258886925,1540.9066686084127,1.7142427197203136,1558.7720183432098,1531.0814425265,-27.690575816709753,52.091885143406934,102.0,80.0,77.0,win
match,2025-05-31T16:15:00,2025,12,Richmond,Greater Western Sydney,1311.3052193415015,1309.5909766217812,-1.7142427197203136,1323.6281767032872,1351.318752519997,27.690575816709753,-52.091885143406934,102.0,77.0,80.0,loss
match,2025-05-31T19:35:00,2025,12,Sydney,Adelaide,1528.2908669380804,1500.7301794776545,-27.560687460425914,1494.1526740051777,1448.2889592599133,-45.86371474526438,86.27943949502786,103.0,41.0,131.0,loss
match,2025-05-31T19:35:00,2025,12,Adelaide,Sydney,1536.6472093694586,1564.2078968298845,27.560687460425914,1583.6926421346113,1629.5563568798757,45.86371474526438,-86.27943949502786,103.0,131.0,41.0,win
match,2025-06-01T15:20:00,2025,12,Melbourne,St Kilda,1483.6423384556815,1461.403615555843,-22.238722899838496,1466.294714815802,1442.8597159805151,-23.4349988352869,44.08623626118206,104.0,63.0,91.0,loss
match,2025-06-01T15:20:00,2025,12,St Kilda,Melbourne,1437.0033584004677,1459.2420813003062,22.238722899838496,1446.4879934399073,1469.9229922751942,23.4349988352869,-44.08623626118206,104.0,91.0,63.0,win
match,2025-06-01T19:20:00,2025,12,West Coast,Geelong,1291.439375649109,1283.9560772051186,-7.483298443990373,1327.6875035867138,1326.5221262272787,-1.1653773594350147,2.1923236251296174,105.0,73.0,116.0,loss
match,2025-06-01T19:20:00,2025,12,Geelong,West Coast,1609.09314820363,1616.5764466476205,7.483298443990373,1621.9730139435346,1623.1383913029697,1.1653773594350147,-2.1923236251296174,105.0,116.0,73.0,win
match,2025-06-05T19:30:00,2025,13,Western Bulldogs,Hawthorn,1581.2814380890602,1562.004702914716,-19.276735174344125,1633.8846895550919,1607.2532306354178,-26.631458919673985,50.09946013502065,106.0,59.0,81.0,loss
match,2025-06-05T19:30:00,2025,13,Hawthorn,Western Bulldogs,1561.6313798777312,1580.9081150520753,19.276735174344125,1547.7569837010146,1574.3884426206887,26.631458919673985,-50.09946013502065,106.0,81.0,59.0,win
match,2025-06-06T19:40:00,2025,13,Adelaide,Brisbane Lions,1564.2078968298845,1572.5152923005626,8.307395470678069,1629.5563568798757,1618.260988788457,-11.2953680914187,21.24899897948749,107.0,68.0,63.0,win
match,2025-06-06T19:40:00,2025,13,Brisbane Lions,Adelaide,1661.495518209553,1653.1881227388749,-8.307395470678069,1553.644427145717,1564.9397952371355,11.2953680914187,-21.24899897948749,107.0,63.0,68.0,loss
match,2025-06-07T13:20:00,2025,13,Richmond,Sydney,1309.5909766217812,1296.6522694618004,-12.938707159980934,1351.318752519997,1330.6227794979588,-20.695973022038167,38.93354391512836,108.0,36.0,80.0,loss
match,2025-06-07T13:20:00,2025,13,Sydney,Richmond,1500.7301794776545,1513.6688866376353,12.938707159980934,1448.2889592599133,1468.9849322819514,20.695973022038167,-38.93354391512836,108.0,80.0,36.0,win
match,2025-06-07T16:15:00,2025,13,Geelong,Gold Coast,1616.5764466476205,1626.214402793839,9.637956146218587,1623.1383913029697,1621.5219864022883,-1.616404900681417,3.040802726129133,109.0,61.0,37.0,win
match,2025-06-07T16:15:00,2025,13,Gold Coast,Geelong,1540.4597454844363,1530.8217893382177,-9.637956146218587,1542.8551783444013,1544.4715832450827,1.616404900681417,-3.040802726129133,109.0,37.0,61.0,loss
match,2025-06-07T19:35:00,2025,13,Greater Western Sydney,Port Adelaide,1540.9066686084127,1522.1899454540292,-18.716723154383526,1531.0814425265,1505.2281071077261,-25.85333541877384,48.63564369781185,110.0,50.0,66.0,loss
match,2025-06-07T19:35:00,2025,13,Port Adelaide,Greater Western Sydney,1472.8309659787983,1491.5476891331818,18.716723154383526,1419.9109868812352,1445.764322300009,25.85333541877384,-48.63564369781185,110.0,66.0,50.0,win
match,2025-06-08T15:20:00,2025,13,North Melbourne,West Coast,1293.9613976598496,1302.547303777315,8.585906117465406,1374.7108583822958,1368.7427502858188,-5.968108096477029,11.227285540863083,111.0,62.0,52.0,win
match,2025-06-08T15:20:00,2025,13,West Coast,North Melbourne,1283.9560772051186,1275.3701710876533,-8.585906117465406,1326.5221262272787,1332.4902343237557,5.968108096477029,-11.227285540863083,111.0,52.0,62.0,loss
match,2025-06-08T19:20:00,2025,13,Carlton,Essendon,1485.6024225966964,1493.039790032107,7.437367435410626,1512.4495900645222,1501.8578500939107,-10.591739970611629,19.925324257250946,112.0,78.0,70.0,win
match,2025-06-08T19:20:00,2025,13,Essendon,Carlton,1465.9380159807642,1458.5006485453537,-7.437367435410626,1427.2832300546534,1437.874970025265,10.591739970611629,-19.925324257250946,112.0,70.0,78.0,loss
match,2025-06-09T15:20:00,2025,13,Melbourne,Collingwood,1461.403615555843,1459.742823724066,-1.6607918317769887,1442.8597159805151,1452.675660892806,9.815944912290776,-18.465888117664218,113.0,71.0,72.0,loss
match,2025-06-09T15:20:00,2025,13,Collingwood,Melbourne,1646.456444779428,1648.117236611205,1.6607918317769887,1619.324363044745,1609.5084181324542,-9.815944912290776,18.465888117664218,113.0,72.0,71.0,win
match,2025-06-12T19:30:00,2025,14,St Kilda,Western Bulldogs,1459.2420813003062,1438.8785025281218,-20.363578772184496,1469.9229922751942,1438.2291815541544,-31.69381072103981,59.622824702728,114.0,60.0,132.0,loss
match,2025-06-12T19:30:00,2025,14,Western Bulldogs,St Kilda,1562.004702914716,1582.3682816869004,20.363578772184496,1607.2532306354178,1638.9470413564577,31.69381072103981,-59.622824702728,114.0,132.0,60.0,win
match,2025-06-13T19:40:00,2025,14,Hawthorn,Adelaide,1580.9081150520753,1585.2742610226467,4.3661459705714245,1574.3884426206887,1573.5636948466683,-0.8247477740202496,1.5515266493886974,115.0,47.0,44.0,win
match,2025-06-13T19:40:00,2025,14,Adelaide,Hawthorn,1572.5152923005626,1568.1491463299913,-4.3661459705714245,1618.260988788457,1619.0857365624775,0.8247477740202496,-1.5515266493886974,115.0,44.0,47.0,loss
match,2025-06-14T13:20:00,2025,14,Brisbane Lions,Greater Western Sydney,1653.1881227388749,1635.6213317674994,-17.56679097137551,1564.9397952371355,1546.6991617023098,-18.240633534825655,34.31452611634488,116.0,96.0,107.0,loss
match,2025-06-14T13:20:00,2025,14,Greater Western Sydney,Brisbane Lions,1522.1899454540292,1539.7567364254046,17.56679097137551,1505.2281071077261,1523.468740642552,18.240633534825655,-34.31452611634488,116.0,107.0,96.0,win
match,2025-06-14T16:15:00,2025,14,Essendon,Geelong,1458.5006485453537,1441.5034481274358,-16.997200417917814,1437.874970025265,1398.4147414985591,-39.460228526705905,74.23311475181879,117.0,56.0,151.0,loss
match,2025-06-14T16:15:00,2025,14,Geelong,Essendon,1626.214402793839,1643.211603211757,16.997200417917814,1621.5219864022883,1660.9822149289942,39.460228526705905,-74.23311475181879,117.0,151.0,56.0,win
match,2025-06-14T19:35:00,2025,14,North Melbourne,Fremantle,1302.547303777315,1298.12752472375,-4.4197790535650086,1368.7427502858188,1375.9378319259633,7.195081640144586,-13.535484739529075,118.0,67.0,73.0,loss
match,2025-06-14T19:35:00,2025,14,Fremantle,North Melbourne,1553.7296445271124,1558.1494235806774,4.4197790535650086,1545.591616983921,1538.3965353437766,-7.195081640144586,13.535484739529075,118.0,73.0,67.0,win
match,2025-06-15T15:20:00,2025,14,Port Adelaide,Melbourne,1491.5476891331818,1503.1521972290125,11.604508095830662,1445.764322300009,1453.0752463069919,7.3109240069828685,-13.75340896429145,119.0,93.0,68.0,win
match,2025-06-15T15:20:00,2025,14,Melbourne,Port Adelaide,1459.742823724066,1448.1383156282354,-11.604508095830662,1452.675660892806,1445.3647368858233,-7.3109240069828685,13.75340896429145,119.0,68.0,93.0,loss
match,2025-06-15T18:10:00,2025,14,West Coast,Carlton,1275.3701710876533,1264.6424344717889,-10.727736615864483,1332.4902343237557,1324.0809543242008,-8.40927999955477,15.819651089061633,120.0,52.0,86.0,loss
match,2025-06-15T18:10:00,2025,14,Carlton,West Coast,1493.039790032107,1503.7675266479714,10.727736615864483,1501.8578500939107,1510.2671300934653,8.40927999955477,-15.819651089061633,120.0,86.0,52.0,win
match,2025-06-19T20:10:00,2025,15,Fremantle,Essendon,1558.1494235806774,1567.9209305560457,9.771506975368256,1538.3965353437766,1540.068615455225,1.6720801114483166,-3.1455396844286483,121.0,104.0,63.0,win
match,2025-06-19T20:10:00,2025,15,Essendon,Fremantle,1441.5034481274358,1431.7319411520675,-9.771506975368256,1398.4147414985591,1396.7426613871107,-1.6720801114483166,3.1455396844286483,121.0,63.0,104.0,loss
